id,airport_id,airline_id,terminal_id,default_flg,created_at,updated_at
1,1,115,1,1,2023/6/10 16:19,2023/6/10 16:19
2,1,86,2,1,2023/6/10 16:22,2023/6/10 16:22
3,1,2,2,1,2009/2/28 20:50,2009/2/28 20:50
4,1,130,1,1,2023/6/10 16:24,2023/6/10 16:24
5,1,3,1,1,2009/2/28 20:50,2009/2/28 20:50
6,1,57,1,1,2023/8/29 18:12,2023/8/29 18:12
7,1,4,1,1,2009/2/28 20:50,2009/2/28 20:50
8,1,5,2,1,2009/2/28 20:50,2009/2/28 20:50
9,1,6,1,1,2009/2/28 20:50,2009/2/28 20:50
10,1,7,1,1,2009/2/28 20:50,2009/2/28 20:50
11,1,8,2,1,2009/2/28 20:50,2009/2/28 20:50
12,1,131,6,1,2023/9/25 16:34,2023/9/25 16:34
13,1,9,2,1,2009/2/28 20:50,2009/2/28 20:50
14,1,13,1,1,2009/2/28 20:50,2009/2/28 20:50
15,1,15,2,1,2009/2/28 20:50,2009/2/28 20:50
16,1,23,2,1,2014/3/21 17:44,2014/3/21 17:44
17,1,69,1,1,2009/2/28 20:50,2009/2/28 20:50
18,1,17,1,1,2009/2/28 20:50,2009/2/28 20:50
19,1,18,1,1,2009/2/28 20:50,2009/2/28 20:50
20,1,19,1,1,2009/2/28 20:50,2009/2/28 20:50
21,1,21,2,1,2009/2/28 20:50,2009/2/28 20:50
22,1,22,2,1,2009/2/28 20:50,2009/2/28 20:50
23,1,11,1,1,2009/2/28 20:50,2009/2/28 20:50
24,1,26,1,1,2009/2/28 20:50,2009/2/28 20:50
25,1,27,1,1,2009/2/28 20:50,2009/2/28 20:50
26,1,28,2,1,2009/2/28 20:50,2009/2/28 20:50
27,1,29,2,1,2009/2/28 20:50,2009/2/28 20:50
28,1,58,1,1,2009/2/28 20:50,2009/2/28 20:50
29,1,59,1,1,2009/2/28 20:50,2009/2/28 20:50
30,1,60,1,1,2009/2/28 20:50,2009/2/28 20:50
31,1,61,2,1,2009/2/28 20:50,2009/2/28 20:50
32,2,12,4,1,2009/2/28 20:50,2009/2/28 20:50
33,2,69,5,1,2009/2/28 20:50,2009/2/28 20:50
34,1,33,2,1,2018/10/3 10:03,2018/10/3 10:03
35,2,22,5,1,2009/2/28 20:50,2009/2/28 20:50
36,1,14,2,1,2014/7/22 15:19,2014/7/22 15:19
37,1,72,1,1,2015/3/22 12:07,2015/3/22 12:07
38,2,24,3,1,2009/2/28 20:50,2009/2/28 20:50
39,2,27,5,1,2009/2/28 20:50,2009/2/28 20:50
40,1,65,2,1,2010/7/27 11:42,2010/7/27 11:42
41,1,63,1,1,2010/7/27 11:43,2010/7/27 11:43
42,1,76,2,1,2016/3/18 14:53,2016/3/18 14:53
43,1,64,2,1,2010/7/27 11:43,2010/7/27 11:43
44,1,66,1,1,2011/6/24 18:29,2011/6/24 18:29
45,1,67,2,1,2011/6/24 18:30,2011/6/24 18:30
46,1,68,2,1,2012/2/28 18:35,2012/2/28 18:35
47,1,25,1,1,2009/2/28 20:50,2009/2/28 20:50
48,1,62,1,1,2009/2/28 20:50,2009/2/28 20:50
49,1,10,1,1,2009/2/28 20:50,2009/2/28 20:50
50,1,16,1,1,2017/12/18 16:04,2017/12/18 16:04
51,2,20,5,1,2016/1/24 11:40,2016/1/24 11:40
52,1,30,2,1,2014/1/29 10:55,2014/1/29 10:55
53,2,30,3,1,2014/1/29 10:55,2014/1/29 10:55
54,1,71,1,1,2014/1/29 11:13,2014/1/29 11:13
55,2,71,4,1,2014/1/29 11:13,2014/1/29 11:13
56,2,73,5,1,2016/1/24 11:42,2016/1/24 11:42
57,1,74,2,1,2016/1/24 11:50,2016/1/24 11:50
58,1,75,1,1,2016/1/24 13:43,2016/1/24 13:43
